date_id, file_name, date
140,WEBPXTICK_DT-20121105.gz,20121105
141,WEBPXTICK_DT-20121102.gz,20121102
142,WEBPXTICK_DT-20121101.gz,20121101
143,WEBPXTICK_DT-20121031.gz,20121031
144,WEBPXTICK_DT-20121030.gz,20121030
145,WEBPXTICK_DT-20121029.gz,20121029
146,WEBPXTICK_DT-20121026.gz,20121026
147,WEBPXTICK_DT-20121025.gz,20121025
148,WEBPXTICK_DT-20121024.gz,20121024
149,WEBPXTICK_DT-20121023.gz,20121023
150,WEBPXTICK_DT-20121022.gz,20121022
151,WEBPXTICK_DT-20121019.gz,20121019
152,WEBPXTICK_DT-20121018.gz,20121018
153,WEBPXTICK_DT-20121017.gz,20121017
154,WEBPXTICK_DT-20121016.gz,20121016
155,WEBPXTICK_DT-20121015.gz,20121015
156,WEBPXTICK_DT-20121012.gz,20121012
157,WEBPXTICK_DT-20121011.gz,20121011
158,WEBPXTICK_DT-20121010.gz,20121010
159,WEBPXTICK_DT-20121009.gz,20121009
160,WEBPXTICK_DT-20121008.gz,20121008
161,WEBPXTICK_DT-20121005.gz,20121005
162,WEBPXTICK_DT-20121004.gz,20121004
163,WEBPXTICK_DT-20121003.gz,20121003
164,WEBPXTICK_DT-20121002.gz,20121002
165,WEBPXTICK_DT-20121001.gz,20121001
166,WEBPXTICK_DT-20120928.gz,20120928
167,WEBPXTICK_DT-20120927.gz,20120927
168,WEBPXTICK_DT-20120926.gz,20120926
169,WEBPXTICK_DT-20120925.gz,20120925
170,WEBPXTICK_DT-20120924.gz,20120924
171,WEBPXTICK_DT-20120921.gz,20120921
172,WEBPXTICK_DT-20120920.gz,20120920
173,WEBPXTICK_DT-20120919.gz,20120919
174,WEBPXTICK_DT-20120918.gz,20120918
175,WEBPXTICK_DT-20120917.gz,20120917
176,WEBPXTICK_DT-20120914.gz,20120914
177,WEBPXTICK_DT-20120913.gz,20120913
178,WEBPXTICK_DT-20120912.gz,20120912
179,WEBPXTICK_DT-20120911.gz,20120911
180,WEBPXTICK_DT-20120910.gz,20120910
181,WEBPXTICK_DT-20120907.gz,20120907
182,WEBPXTICK_DT-20120906.gz,20120906
183,WEBPXTICK_DT-20120905.gz,20120905
184,WEBPXTICK_DT-20120904.gz,20120904
185,WEBPXTICK_DT-20120903.gz,20120903
186,WEBPXTICK_DT-20120831.gz,20120831
187,WEBPXTICK_DT-20120830.gz,20120830
188,WEBPXTICK_DT-20120829.gz,20120829
189,WEBPXTICK_DT-20120828.gz,20120828
190,WEBPXTICK_DT-20120827.gz,20120827
191,WEBPXTICK_DT-20120824.gz,20120824
192,WEBPXTICK_DT-20120823.gz,20120823
193,WEBPXTICK_DT-20120822.gz,20120822
194,WEBPXTICK_DT-20120821.gz,20120821
195,WEBPXTICK_DT-20120820.gz,20120820
196,WEBPXTICK_DT-20120817.gz,20120817
197,WEBPXTICK_DT-20120816.gz,20120816
198,WEBPXTICK_DT-20120815.gz,20120815
199,WEBPXTICK_DT-20120814.gz,20120814
200,WEBPXTICK_DT-20120813.gz,20120813
201,WEBPXTICK_DT-20120810.gz,20120810
202,WEBPXTICK_DT-20120809.gz,20120809
203,WEBPXTICK_DT-20120808.gz,20120808
204,WEBPXTICK_DT-20120807.gz,20120807
205,WEBPXTICK_DT-20120806.gz,20120806
206,WEBPXTICK_DT-20120803.gz,20120803
207,WEBPXTICK_DT-20120802.gz,20120802
208,WEBPXTICK_DT-20120801.gz,20120801
209,WEBPXTICK_DT-20120731.gz,20120731
210,WEBPXTICK_DT-20120730.gz,20120730
211,WEBPXTICK_DT-20120727.gz,20120727
212,WEBPXTICK_DT-20120726.gz,20120726
213,WEBPXTICK_DT-20120725.gz,20120725
214,WEBPXTICK_DT-20120724.gz,20120724
215,WEBPXTICK_DT-20120723.gz,20120723
216,WEBPXTICK_DT-20120720.gz,20120720
217,WEBPXTICK_DT-20120719.gz,20120719
218,WEBPXTICK_DT-20120718.gz,20120718
219,WEBPXTICK_DT-20120717.gz,20120717
220,WEBPXTICK_DT-20120716.gz,20120716
221,WEBPXTICK_DT-20120713.gz,20120713
222,WEBPXTICK_DT-20120712.gz,20120712
223,WEBPXTICK_DT-20120711.gz,20120711
224,WEBPXTICK_DT-20120710.gz,20120710
225,WEBPXTICK_DT-20120709.gz,20120709
226,WEBPXTICK_DT-20120706.gz,20120706
227,WEBPXTICK_DT-20120705.gz,20120705
228,WEBPXTICK_DT-20120704.gz,20120704
229,WEBPXTICK_DT-20120703.gz,20120703
230,WEBPXTICK_DT-20120702.gz,20120702
231,WEBPXTICK_DT-20120629.gz,20120629
232,WEBPXTICK_DT-20120628.gz,20120628
233,WEBPXTICK_DT-20120627.gz,20120627
